url,job_title,tech_stack,language_req,is_manager,work_method,contract_type,salary_min,salary_max,exp_years,location,job_level,source,company_name,education_level,is_shift_work,job_category
https://itviec.com/it-jobs/api-integration-engineer-java-python-golang-tymex-4225,API Integration Engineer OAuth2 / WS02 / AWS,"Datadog, Microsoft Teams, AWS, OAuth2, Go, Python, DigitalOcean, SOAP, Java, REST API, SSO",1,0,Onsite,Full-time,,,2.0,Hồ Chí Minh,2.0,itviec,TYMEX,Unknown,0,General Developer
https://itviec.com/it-jobs/fullstack-software-engineer-typescript-genai-llm-papaya-insurtech-1117,"Fullstack Software Engineer TypeScript, GenAI, LLM","Microsoft Teams, Cursor, Claude, Adobe Illustrator, TypeScript",0,0,Onsite,Full-time,,,2.0,Hồ Chí Minh,2.0,itviec,PAPAYA INSURTECH,Unknown,0,Data & AI
https://itviec.com/it-jobs/python-developer-middle-capgemini-vietnam-4030,Python Developer Middle,"Flask, HTML, AWS, Docker, MySQL, Python, SQL, React, PostgreSQL, MongoDB, FastAPI, Microsoft Azure, CSS, Git, Google Cloud, REST API, JavaScript",1,0,Onsite,Full-time,,,2.0,Hồ Chí Minh,2.0,itviec,CAPGEMINI VIETNAM,Unknown,0,Backend Developer
https://itviec.com/it-jobs/senior-ruby-on-rails-developer-zigexn-ventura-1925,Senior Ruby on Rails Developer,"Nginx, AWS, GPT, Cursor, Make, Vue, Ruby on Rails, Elasticsearch, Docker, React, DigitalOcean, Adobe Illustrator, Ruby, Google Cloud, JavaScript",1,0,Onsite,Full-time,,,3.0,Hồ Chí Minh,3.0,itviec,ZIGEXN VENTURA,Unknown,0,Backend Developer
https://itviec.com/it-jobs/senior-automation-tester-qa-qc-selenium-java-ekino-vietnam-5733,"Senior Automation Tester QA QC, Selenium, Java","Jenkins, Microsoft Teams, Selenium, AWS, GitLab CI/CD, GitLab, SoapUI, Python, Cypress, TypeScript, JMeter, Java, Playwright, Postman, JavaScript",1,0,Onsite,Full-time,,,3.0,Hồ Chí Minh,3.0,itviec,EKINO VIETNAM,Unknown,0,QA/Tester
https://itviec.com/it-jobs/senior-ai-engineer-machine-learning-python-sql-bewao-corporation-3620,"Senior AI Engineer Machine Learning, Python, SQL","NumPy, Microsoft Teams, PyTorch, TensorFlow, Pandas, LangChain, Python, SQL, MongoDB, PostgreSQL, DigitalOcean, Adobe Illustrator, TypeScript, Hugging Face, GitHub Copilot, Google Cloud, Redis",0,0,Onsite,Full-time,,,3.0,Hồ Chí Minh,3.0,itviec,BEWAO CORPORATION,Unknown,0,Data & AI
https://itviec.com/it-jobs/service-solutions-lead-cloud-architecture-netnam-corporation-branch-in-hcmc-2857,Service Solutions Lead Cloud Architecture,"Provider, Microsoft Azure, AWS",1,1,Hybrid,Full-time,,,3.0,Hồ Chí Minh,3.0,itviec,NETNAM CORPORATION - BRANCH IN HCMC,Unknown,0,System/DevOps/Security
https://itviec.com/it-jobs/machine-learning-engineer-python-sql-rest-apis-ahamove-4624,"Machine Learning Engineer Python, SQL, REST APIs","Flask, AWS S3, PyTorch, TensorFlow, Apache Spark, Python, SQL, Scikit-learn, FastAPI, Adobe Illustrator, Google Cloud, BigQuery, REST API",0,0,Onsite,Full-time,,,2.0,Hồ Chí Minh,2.0,itviec,AHAMOVE,Unknown,0,Data & AI
https://www.vietnamworks.com/soc-operation-and-development-senior-2015552-jv?source=searchResults&searchType=2&placement=2015552&sortBy=date&qs=0,SOC Operation & Development Senior,Not Specified,0,0,Onsite,Full-time,37.5,62.5,3.0,Hồ Chí Minh,2.0,vietnamworks,CÔNG TY CỔ PHẦN DỊCH VỤ CÔNG NGHỆ TIN HỌC HPT,Unknown,0,Other
https://www.vietnamworks.com/c-net-senior-developer-2015688-jv?source=searchResults&searchType=2&placement=2015688&sortBy=date&qs=0,"C#, .Net Senior Developer","C, R, C#, SQL, SQL Server",0,0,Onsite,Full-time,,50.0,4.0,Hà Nội,2.0,vietnamworks,CÔNG TY CỔ PHẦN ICSP VIỆT NAM,Unknown,0,Backend Developer
